Reference,Protein.Accession,GeneName,S01_41,S03_28,S05_51,S07_43,S09_24,S11_21,S13_52,S15_11,S17_14,S19_55,S02_44,S04_31,S06_60,S08_46,S10_26,S12_25,S14_53,S16_13,S18_16,S20_50,T01_42,T03_54,T05_27,T07_15,T09_39,T11_12,T13_29,T15_18,T17_47,T19_58,T02_40,T04_57,T06_30,T08_10,T10_38,T12_17,T14_22,T16_19,T18_48,T20_59,Accession_primary
SiltuxHC,SiltuxHC,SiltuxHC,270240055.9,162661142.9,278539927.5,335989661.5,308700534.1,224370240.3,260958548.4,234024082.9,98367563.76,124593430,308771602.5,170252961.5,231857255,341612760.9,306794822.9,372443924.9,386917000,348687163.9,74009201.27,145803330.7,333535233.2,257141789.1,310048589.1,350553354.7,192813831.5,238438160.6,231286908.5,397463940.8,183796257.5,235048697.1,300787797.4,487216089.9,310044913.4,337740259.4,184031989.5,316367545.5,229952476.1,631196325.9,146711788.8,356689635.4,SiltuxHC
SiltuxLC,SiltuxLC,SiltuxLC,165508461.3,158264806.4,179277238.7,229222324.6,243595419,172796767.8,154083405.6,235083176.2,110827781.6,149750630,215625016,203181734.5,152534171.8,220972115.5,177995590.4,224340699.7,208150890,327103925.1,95597858.3,196815297.5,214124742.3,124312254.3,182171673.5,245531907.3,175257519.3,179034780.4,176331134.3,322429498.5,144942258.1,265162437.2,215548853.8,209389894.2,196759132.1,250107049.9,193557875.4,200494890.9,167061284.7,392338039.2,110380505.6,253323122.7,SiltuxLC
TocilHC,TocilHC,TocilHC,274989396,163317362.1,281752060,347845660.1,314810743.6,228568617.7,263599979.2,239742988.7,100793098.6,126832590,312345229.5,170427431.5,233230042,344640290.9,308933999.5,378173810.4,388716160,351691918.8,75133878.07,146609498.2,341865029.4,259336208.8,314607421,355406452.9,194620610.2,241369486.9,236228934.2,404481985.5,185354608.3,237522895,305631286.3,492665685.8,314867504.8,342319976.3,185059428,325384707.4,233459961.5,640238150.4,147581935.6,361307400.3,TocilHC
TocilLC,TocilLC,TocilLC,168438164.1,161736650.2,182345996.9,233692085.7,249258843.7,175896640.2,156684923.2,238562656.6,113790725.9,152960220,218225027.1,205898841.4,154794210,225422946.6,181039242.8,227320973,210619900,331029557.7,98021820.63,200311590.2,217769685.4,126723392.7,185368739,250980362.3,178487739.1,182741258.8,180409096.1,328211202.2,148428785.1,270364120.2,220077313.4,213552602.5,201162641.2,256003073.6,196909745.6,204819071.7,170795096.8,399679601.6,113015598.6,258786914.5,TocilLC
apoE_E2,apoE_E2,apoE_E2,9541.382433,13994.53894,9715.411392,8074.769053,5685.783679,8625.168488,8634.019783,6656790.123,13982.98507,7290,11454.99064,9487.793268,7100.241379,14460.8209,17536.1991,16022.52111,11500,6988479.263,4418.876081,11807.58185,1721.57226,5301.453911,11516.76781,13221.53392,11121.78738,5274697.036,11324.14012,10679.57746,10460.57047,13499.01269,9120.226469,7879.623262,10716.94683,4833.65784,10828.38607,5235249.926,11726.33229,12747.62532,7767.800587,16572.92147,apoE_E2
apoE_E4,apoE_E4,apoE_E4,798343.1331,23348.83384,1646820.886,15556.09122,45977.36399,1266739.529,1462100.211,37850.58789,14341.11045,20956,1263349.561,66681.54029,2327043.103,25674.2444,54502.72463,1261562.715,1228900,116429.0351,41813.25072,20605.19816,840626.7867,634518.3774,1929650.591,19847.21239,26886.18283,54555.71908,649866.7618,21986.08568,1032203.859,706796.897,1233424.77,1165519.211,2816580.103,70919.16537,24283.42922,39757.15704,932084.953,105420.9728,1189283.871,1159172.276,apoE_E4
sp|A0A075B6H7|KV37_HUMAN,A0A075B6H7,IGKV3-7,9916832.78,6709614.597,9374678.797,8042567.263,12591773.64,7005869.724,10404758.88,12013624.04,4665186.567,6427100,11972115.51,6496159.13,8372009.655,8535132.774,10523135.42,10741308.41,12549900,18017949.6,3940083.573,12524263.35,12008189.52,8880180.285,8555774.513,10876848.97,9848588.785,11500512.48,7902113.172,16673885.86,5858673.378,12707038.93,13298072.47,13490076.24,10077629.5,11598263.56,10157335.52,9786300.609,7310998.433,23046667.88,4515503.519,13350213.31,A0A075B6H7
sp|A0A075B6H9|LV469_HUMAN,A0A075B6H9,IGLV4-69,1618576.517,1403767.279,719217.7215,742878.7529,726601.6839,626309.8235,538260.094,2442011.758,416029.0149,679800,1851534.207,1613154.029,578594.1379,1505182.836,644155.7854,1025125.117,775900,3072795.507,423891.6138,1175338.311,1742445.209,361322.0122,640633.6634,669685.6047,1041018.984,789433.2019,1694561.42,2154209.214,5046518.456,1802973.766,1804488.323,795620.2721,723365.0086,669811.5589,1105836.036,943972.5256,1492096.552,1684575.079,1248678.886,1472089.75,A0A075B6H9
sp|A0A075B6I0|LV861_HUMAN,A0A075B6I0,IGLV8-61,3784002.415,1484763.07,3259088.608,4318542.148,5918235.104,3475242.379,2994584.077,1089653.145,407216.7164,1838000,5193576.264,2130170.01,3507124.138,3696940.299,4692294.764,5316947.138,3799000,2081013.825,454610.0865,2551211.947,4176373.743,2030427.45,3119214.309,4304454.277,1825744.743,3747396.7,4977280.076,8196575.704,2754616.89,3079105.783,4807198.868,4090955.3,3787348.199,4444340.602,2248179.203,4739754.769,4250003.135,8403990.025,1903407.625,3000734.594,A0A075B6I0
sp|A0A075B6I1|LV460_HUMAN,A0A075B6I1,IGLV4-60,220224.8717,191274.6743,8119.993671,103881.4174,194658.9702,113013.7876,499243.0679,351779.659,44246.59104,207060,280074.5211,171307.3784,9933.365517,94791.72886,192887.298,170724.1789,630800,413096.7742,48753.31412,318514.3596,256862.1493,412572.6665,13593.01501,201812.3009,256686.9159,143282.815,376474.2431,462880.5751,11280.45302,222600.6206,261471.9321,675309.9118,12695.01544,219570.5478,340939.47,119786.8584,348673.511,457894.7014,13030.33724,193240.2643,A0A075B6I1
sp|A0A075B6I4|LVX54_HUMAN,A0A075B6I4,IGLV10-54,101720.495,2664.713579,55562.34177,560369.515,924349.0933,385286.7142,110384.3036,2516108.172,129770.1493,2.00E+05,268901.0514,410.2210133,85412.06897,461069.6517,716696.8326,598736.3153,175000,2698329.493,155389.049,424879.3797,194457.3849,90644.08258,102359.3101,922525.0737,214561.9159,138756.0228,532020.9225,2768.779343,69642.89709,1159774.33,194615.7113,199509.6427,79076.50086,741452.4922,267100.1897,157328.7543,654984.326,2096.276164,63941.05572,807929.9216,A0A075B6I4
sp|A0A075B6I7|LV548_HUMAN,A0A075B6I7,IGLV5-48,11870.78177,20656.32289,15655.56962,12476.00462,995841.5479,27002.90693,15322.65283,52699.58848,10703.52239,315350,29016.07374,7482.522951,14386.41379,10154.01119,734744.958,34205.97435,27190,94538.59447,19365.36023,307877.8576,10498.91477,14202.21285,5112.583839,853315.8112,276814.3984,18953.48226,21141.95594,110355.6338,10222.14485,41875.45839,23334.80538,20071.8792,15757.49571,919051.1423,257323.704,14638.80765,20674.26332,96032.11073,8201.651026,43783.58691,A0A075B6I7
sp|A0A075B6I9|LV746_HUMAN,A0A075B6I9,IGLV7-46,33608451.55,2364501.963,1665483.861,1614175.52,2755367.876,2917014.47,1594998.541,2170589.065,1335324.776,1702400,40786562,2338259.776,1960061.724,1663308.769,2976797.027,3951870.504,2697000,3311762.673,1382379.827,3011901.206,36856810.48,1126240.477,1840422.549,2636353.982,2615096.379,3356714.849,2465991.758,3459985.329,1013355.984,3916614.951,41038157.11,2612870.982,1871824.014,2842234.553,3038135.749,3537184.406,2428618.495,5303012.133,745550.7331,4207450.438,A0A075B6I9
sp|A0A075B6J1|LV537_HUMAN,A0A075B6J1,IGLV5-37,57268.6387,33740.25826,19302.8481,21208.42956,40378.88601,52976.9232,23388.35739,27241.32863,41445.97015,24900,54265.59124,22115.26692,30678.62069,28397.699,45093.08339,45643.10291,26500,42610.31106,37973.19885,48391.72889,81083.37745,32533.87613,26154.90259,44635.10324,20964.0771,52156.5192,43159.93026,65066.31455,48250.55928,26902.96192,86718.47134,33654.6569,15954.03087,37181.98339,43622.92674,29476.53672,66343.57367,128420.5217,19172.43402,19783.925,A0A075B6J1
sp|A0A075B6J9|LV218_HUMAN,A0A075B6J9,IGLV2-18,435485.7833,622383.156,404826.5823,926516.5127,2294928.53,463679.4258,598435.9332,704450.8524,162615.0746,311280,546694.282,706049.949,385967.2621,1481615.889,1367093.762,642924.7419,900590,1277998.733,148222.7003,319295.4021,498702.9116,403890.4333,368762.5998,1262407.965,292680.1694,703473.3538,3558023.459,1128574.237,462159.3121,1280951.735,477657.5513,868834.2652,430316.0515,1329780.828,307773.6704,809546.8595,2977854.545,1137116.506,445273.8504,1181390.349,A0A075B6J9
sp|A0A075B6K0|LV316_HUMAN,A0A075B6K0,IGLV3-16,1480236.644,938410.5182,1231528.108,638461.2875,1726492.034,1914415.252,855475.0738,1046106.643,489434.6567,707200,1422748.668,786810.7786,1036240.138,1268633.147,1317382.45,2187242.79,1053140,1193709.908,355840.9222,1025130.385,1638080.466,554376.2693,1280987.48,1533051.77,1030979.848,1708627.887,956985.9883,5448117.224,778944.9664,2081603.845,1611103.27,1142156.43,1015635.918,1747303.881,1010030.602,1800998.31,926792.2571,7220887.64,509255.4252,1508416.661,A0A075B6K0
sp|A0A075B6K2|LV312_HUMAN,A0A075B6K2,IGLV3-12,1425205.856,1433088.714,872883.3228,579533.9579,641827.8497,535997.3042,623343.4409,791682.5397,812290.7164,820000,1798918.911,1132095.41,650258.931,1248346.082,406012.0233,716248.8583,679940,1180742.396,873871.1066,1494162.378,1293409.211,471163.0416,800146.2791,531336.6667,1222628.914,860680.9753,845977.3657,1390204.108,545928.6913,376717.5176,1613593.206,702112.7224,746602.4014,672512.7207,1291042.689,982518.0703,851923.3229,3067333.604,450176.6569,269631.0742,A0A075B6K2
sp|A0A075B6K4|LV310_HUMAN,A0A075B6K4,IGLV3-10,6226311.5,3900929.803,2769158.861,3195760.104,3044022.345,4664924.566,2120799.416,3370000,2187884.478,2439700,7739399.395,3995644.339,2689748.069,6375440.609,2767778.604,5596287.144,3426700,4127473.502,2264406.916,3756746.697,6599062.996,2143708.055,2598053.657,3970834.218,2975324.182,4972681.267,6512876.209,5546062.793,2678282.998,5328307.475,6655094.126,4324724.174,2755422.985,4211187.695,3297913.887,4681072.952,6667634.796,8257722.828,2623559.824,4874406.946,A0A075B6K4
sp|A0A075B6K5|LV39_HUMAN,A0A075B6K5,IGLV3-9,5011158.467,2926679.845,2987462.342,1945338.337,2934999.352,2065662.179,2667912.113,3306800.118,2469354.925,2986600,6416736.281,2329780.347,2684960.345,3255780.473,2495695.217,3025304.973,3594000,4855148.906,2293639.481,3744551.982,5672268.396,2399569.352,2942910.891,2742822.124,3528756.133,3187452.183,3003247.424,5442826.878,1968754.754,2505207.616,5951997.169,4607866.647,3172077.53,2797506.815,3604924.414,3988012.664,2709310.972,10342573.34,1510965.689,2294003.074,A0A075B6K5
sp|A0A075B6K6|LV403_HUMAN,A0A075B6K6,IGLV4-3,84468.69906,97664.62825,28666.32911,69005.22517,58953.17358,32716.53377,81443.94357,61664.46208,44052.43881,36070,97658.649,113360.7956,32269.4931,129466.2624,57695.18423,33889.74038,99880,82124.33756,42267.76369,46823.83688,52833.53626,59864.29195,18427.90482,183312.0944,44063.93107,59428.90933,159285.7822,391386.7371,49777.23714,142214.9506,62658.62703,134628.7038,32197.08405,212484.0992,50398.4026,63030.96241,144202.1944,216426.3499,34362.14076,128636.9448,A0A075B6K6
sp|A0A075B6Q5|HV364_HUMAN,A0A075B6Q5,IGHV3-64,1118620.284,634930.3146,379572.9114,563657.7945,796817.2927,950169.5763,580654.2241,1431209.877,542771.194,757510,1116570.359,809980.2448,499782.6207,780245.1182,680480.7692,1340515.796,758930,2411316.532,374341.9308,988962.4067,1527293.277,440912.4164,538898.6266,721011.0029,966316.0047,823384.1437,1091497.543,1258014.671,824641.6387,3232728.35,1108737.155,833738.7053,377393.7564,767042.4455,1039525.063,854503.0989,905325.674,1881360.643,564993.8416,2442745.044,A0A075B6Q5
sp|A0A075B6R2|HV404_HUMAN,A0A075B6R2,IGHV4-4,1214115.484,1705272.911,1530129.304,1327521.218,1935010.784,1546630.625,1266873.001,2082356.878,1012710.149,1609380,1455725.45,1757751.207,1389625.31,2504226.461,1437674.24,1988795.433,1701360,3004415.179,939977.4928,1838401.781,1371013.764,961542.6287,1507534.142,1626556.844,1594135.981,1706551.467,2560559.011,2776709.918,2369715.017,2270058.618,1606113.857,1877103.603,1818378.01,1985014.862,1920336.924,2249611.306,2717984.232,3479818.431,1704211.965,2122017.581,A0A075B6R2
sp|A0A075B6S2|KVD29_HUMAN,A0A075B6S2,IGKV2D-29,4799162.783,2943741.68,3112920.19,4764483.43,3030337.176,2759386.232,2305337.928,4087189.888,1902591.343,4076650,5037885.467,3205682.421,3249656.138,4309492.289,2424504.783,3987067.344,2684990,5193022.465,1962447.147,4235418.323,5205873.954,2079267.461,3527392.239,2824845.339,4059206.338,4291192.378,3652975.305,5385612.031,1977792.31,6089052.891,4336305.166,3278507.699,3539332.384,2930126.201,4114394.822,5183629.819,3468881.505,4883596.374,1649955.953,5536381.22,A0A075B6S2
sp|A0A075B6S4|KVD17_HUMAN,A0A075B6S4,IGKV1D-17,1332.538485,1533.648103,1770.316456,818.1784065,5172.862694,2867.759066,2360.694017,2843.004115,680.0358209,1750,3349.128619,2222.985379,3300.275862,776.483209,3485.455721,3373.16234,1410,3833.957373,638.0662824,2100.201034,3710.746427,2724.222158,1754.423507,2455.427729,2745.998832,4674.405023,2254.144872,3826.848592,918.8338926,1112.242595,1364.217976,1854.029003,3676.363636,4680.555556,1340.657323,10036.4895,2260.752351,3267.169156,804.4516129,1791.947134,A0A075B6S4
sp|A0A075B6S5|KV127_HUMAN,A0A075B6S5,IGKV1-27,1597316.933,1587709.198,1639462.342,1494124.134,2493887.306,1661548.955,1093023.188,2737010.582,731642.0896,1534500,1782124.73,1292539.952,1116515.862,1683323.383,1972985.779,2231557.71,1787700,3755336.982,590089.9135,2016192.993,2131270.778,810113.1143,1729452.571,2301143.363,1856058.995,2201398.744,2385120.304,2545299.296,2057245.526,3256874.471,1845605.662,1867732.695,1519448.027,2305829.764,1786580.574,2755061.576,2303960.188,3239124.38,1415103.519,2638201.936,A0A075B6S5
sp|A0A075B6S6|KVD30_HUMAN,A0A075B6S6,IGKV2D-30,4449864.775,2946042.153,2722128.165,4497938.222,2682140.22,2528225.149,2290824.031,3743651.969,1605296.985,4026300,4622768.256,3138992.86,2864267.586,4096184.701,2158041.694,3601588.677,2585700,4648406.394,1631818.098,4125685.238,4812463.473,2043783.978,2962069.626,2488034.218,3978942.465,3700652.65,3316904.739,5277985.622,1855563.842,5531838.364,3917213.588,3192960.383,3062017.839,2587866.044,4018981.272,4602498.994,3103569.279,4665914.147,1489964.956,5047697.556,A0A075B6S6
sp|A0A087WSX0|LV545_HUMAN,A0A087WSX0,IGLV5-45,367821.31,259857.5004,339452.8481,566887.7021,815435.2332,517838.4787,256681.7577,2027448.266,208779.0448,3295200,422281.4345,260811.1867,267973.1034,627788.2463,469011.6354,626986.5499,421400,2425681.74,161961.0346,4189755.887,526194.5474,169822.9136,362240.0192,612763.4218,4328639.019,515267.0463,522406.0865,10383318.08,543572.7069,822203.9492,621625.4777,407181.0435,354607.2384,591959.0472,4093542.444,510143.0066,594134.1693,8784530.247,506191.7889,670892.5772,A0A087WSX0
sp|A0A087WSY4|HV432_HUMAN,A0A087WSY4,IGHV4-30-2,1098032.056,1555866.83,1325817.722,1154263.915,1805110.816,1399346.022,1090148.824,1661552.646,950390.2985,1412400,1349038.715,1600893.234,1207784.759,2263107.991,1298332.256,1830045.981,1441560,2387973.07,886562.5072,1551729.179,1285648.756,816227.9151,1261387.448,1451694.602,1332232.652,1375790.568,2423857.41,2753679.607,1908790.24,2082878.646,1491252.427,1643737.778,1621854.408,1854812.305,1545056.001,1838060.986,2575134.263,3491961.725,1384318.915,1930289.596,A0A087WSY4
sp|A0A087WSY6|KVD15_HUMAN,A0A087WSY6,IGKV3D-15,1994738.907,1575823.426,2316341.772,2323198.614,2717389.896,1631995.713,1186904.492,2904420.929,1134734.328,1893000,2234693.936,1628279.497,1913927.586,2661629.353,2216531.997,2383350.016,1922000,4241618.664,956613.8329,2177627.8,2311188.46,1114187.264,2151590.546,2175091.445,2636749.416,2130544.605,1852458.393,3352200.704,2947807.606,2536293.371,2384996.461,2349780.236,1987317.324,2259352.285,1880014.077,2255045.478,1803319.749,4494718.261,2082284.457,1323762.102,A0A087WSY6
sp|A0A087WSZ0|KVD08_HUMAN,A0A087WSZ0,IGKV1D-8,26599.90945,51760.62347,20689.24051,144859.4111,26126.23057,35923.60784,14033.01443,29509.78836,16910.35821,31040,26210.5718,17359.91159,28459.06897,35104.16667,125367.4855,51314.23209,59340,65808.17972,15490.34582,12485.06605,40497.08841,45469.0317,37994.57042,47478.23009,43404.49766,50877.20835,107045.1736,45882.62911,113275.7271,38500.70522,43120.73602,54814.77052,26925.31732,22210.76713,51563.74319,102896.622,109657.0533,177428.0591,188067.7419,26682.40357,A0A087WSZ0
sp|A0A096LP49|CC187_HUMAN,A0A096LP49,CCDC187,14647.75128,14473.80397,8606.297468,17706.12009,9145.272021,11602.38401,9486.492622,7270.95826,14787.76119,9460,13978.97163,12719.14315,11179.10345,15299.12935,4607.336781,14757.58524,18100,8560.887097,23405.4755,7984.635267,16948.1207,10093.34109,9202.65091,5616.666667,5856.162383,9831.011827,11430.97163,5587.001174,6219.798658,9601.410437,16122.57608,14610.55464,5271.766724,10717.15992,10725.25858,6537.280996,8863.416928,14919.44297,7382.375367,9208.329491,A0A096LP49
sp|A0A0A0MRZ8|KVD11_HUMAN / sp|P04433|KV311_HUMAN,A0A0A0MRZ8 / P04433,IGKV3D-11,4596749.17,5540303.772,13874588.61,5902364.319,13292292.75,4802949.153,4872210.151,6899485.597,2839853.731,5143000,5903203.226,5694967.698,13201103.45,7559446.517,9672139.625,8042883.954,8080000,12550144.01,3060193.084,9300890.293,5833721.546,5518999.709,12022644.52,13102241.89,6962435.748,5989142.941,4802076.399,12232071.6,5645880.872,11673794.08,6499592.357,9582508.596,14717015.44,16239778.04,8642083.359,6645783.585,5161699.06,19329177.06,4465991.202,12046442.29,A0A0A0MRZ8
sp|A0A0A0MRZ9|LV552_HUMAN,A0A0A0MRZ9,IGLV5-52,10395.83459,13342.73849,10184.6519,23922.7194,9603.626943,9993.374149,30393.93546,7558.230453,8319.373134,7760,21677.11364,12306.6304,8204.206897,30891.66667,5347.996122,19701.37629,58630,15297.00461,7584.927954,11584.9799,15797.4325,30848.38616,8352.347493,14563.56932,8169.100467,11710.61469,11633.9515,22081.01526,4155.956376,18242.67983,33008.35103,68981.9704,11653.37907,6331.873053,11395.58725,11347.56245,13374.35737,34465.80179,3961.973607,26413.09359,A0A0A0MRZ9
sp|A0A0A0MS15|HV349_HUMAN,A0A0A0MS15,IGHV3-49,2621337.157,3404219.523,3827829.43,3615852.396,2894871.47,3213313.088,2825258.927,6570806.584,1302027.164,2670240,2888113.784,3646463.754,3644015.862,3632704.913,2749719.586,4375096.966,3417450,9341073.157,1154705.735,3379552.527,3692460.296,2269041.873,4209540.083,2888984.69,3002292.056,3576165.864,3333816.167,5838861.209,2197285.235,11573311.99,3205816.844,4238874.57,4399034.991,2689340.051,3187567.477,4110801.427,2935248.871,6956992.911,1516895.308,9001685.877,A0A0A0MS15
sp|A0A0A0MT36|KVD21_HUMAN,A0A0A0MT36,IGKV6D-21,331303.6523,404212.1281,264481.0127,324060.9122,390474.7409,404660.5064,605911.4642,494306.2904,315170.4478,265700,412185.5106,389595.3757,244964.1379,351670.398,449732.7085,778989.6778,467000,895884.2166,273290.4899,399618.8972,513082.054,457434.1378,235394.1233,514943.9528,300485.1051,601669.7328,776665.0816,547822.77,236258.1096,1463977.433,477857.891,387935.4164,309485.0772,578289.2004,356202.338,826066.3787,577865.2038,702535.7953,192613.783,1871704.318,A0A0A0MT36
sp|A0A0A0MT89|KJ01_HUMAN,A0A0A0MT89,IGKJ1,80104.88983,118023.8068,113513.5443,50491.62818,104723.1865,48554.8825,35257.4023,182417.8424,55516.47463,233430,99736.0795,115950.459,93093.34483,83526.95896,138644.8933,112031.1542,69010,177720.9101,68730.51873,336574.1528,59550.3441,32395.70515,85116.44842,183858.8496,313506.4544,104864.1261,101575.4002,131309.3603,74025.02796,109322.9901,100933.0502,99875.73628,100972.8302,112737.9608,283280.8923,69559.20152,80193.32288,292912.1018,33700,128046.5345,A0A0A0MT89
sp|A0A0B4J1U3|LV136_HUMAN,A0A0B4J1U3,IGLV1-36,49873.55871,48587.88896,77062.08861,41346.70901,55395.46632,29093.52518,41312.14529,96186.65491,16095.52239,36910,65943.85712,45743.08058,83087.93103,137692.1642,58119.97414,45189.83422,49090,133295.5357,13460.57637,50830.67203,58872.41927,39814.80081,79627.14788,57557.41298,48365.01168,58356.25639,54740.466,109010.7981,129673.3781,344985.3315,68602.03822,58744.50591,107978.7307,70295.82035,51274.98623,60246.06262,55866.99373,219164.7286,134701.173,329283.2334,A0A0B4J1U3
sp|A0A0B4J1U7|HV601_HUMAN,A0A0B4J1U7,IGHV6-1,2421659.825,2948055.066,1386488.386,1290639.954,2425745.207,1797942.641,1535642.387,2682656.702,900443.8806,1824530,2702232.292,2751001.7,1198790.345,1559348.041,2037303.329,2143686.831,2029140,4635788.306,847258.7896,2436746.152,3366521.175,1128317.941,1486394.954,2367151.622,2109497.956,2777088.626,2110990.648,2496321.567,1248803.635,4369782.511,3314095.683,2411325.938,1454209.914,2264382.788,2365610.472,3123879.96,1759435.799,2934503.348,898050.6452,3568253.573,A0A0B4J1U7
sp|A0A0B4J1V0|HV315_HUMAN,A0A0B4J1V0,IGHV3-15,7796794.567,4379303.402,3798928.481,5638932.275,4835535.298,4941083.197,3394371.98,6417363.61,2279558.537,4338100,8750816.823,4803596.396,3931511.724,6430978.545,4308676.794,6708903.66,4621700,11468676.84,2081921.902,5872142.734,11387656.38,2849810.759,3897511.019,5071203.835,5047126.168,7173784.786,6601760.025,7153141.432,3024028.412,10769075.04,10028280.48,5136466.437,4517534.134,4437035.436,5569296.775,7890941.214,6148506.897,9943147.749,2229279.707,8351302.29,A0A0B4J1V0
sp|A0A0B4J1V1|HV321_HUMAN,A0A0B4J1V1,IGHV3-21,17752871.11,11195056.03,13104287.66,13408008.08,18090570.34,15431718.01,11240947.3,34560330.69,8493707.761,17740100,23566507.56,11217711.32,12242140.9,16560678.79,15550905.3,20390977.17,13660300,45866748.27,6568586.455,20858286.9,19513530.97,8874300.669,13137510.7,16947918.88,16418612.44,18405002.34,18527361.55,32950451.88,12184302.85,29722164.17,15656356.97,16875795.19,13815612.69,15530039.59,18689691.23,19917096.94,14812470.53,39539167.81,5653496.188,23085976.03,A0A0B4J1V1
sp|A0A0B4J1V2|HV226_HUMAN,A0A0B4J1V2,IGHV2-26,581434.3495,466976.6767,480960.8544,473346.8533,969093.2642,607056.4334,258408.5617,773059.3768,258121.8806,403600,703511.1623,441377.1846,383529.2414,530125.3109,684129.6057,763515.2956,414800,1081661.29,253818.2997,507242.1022,798434.8862,281672.8119,530191.0891,775278.9381,437981.8925,694488.6553,614772.6106,1238109.126,727763.5626,1949751.763,769781.4579,472072.0586,516552.2127,732441.3292,500168.309,824285.1278,615843.7304,1692979.069,427604.5748,1387692.147,A0A0B4J1V2
sp|A0A0B4J1V6|HV373_HUMAN,A0A0B4J1V6,IGHV3-73,7037634.168,3818649.582,3567571.582,5329892.379,4202132.448,4309333.387,3134947.008,5559113.169,2048406.716,3958020,7982284.027,4230707.854,3535931.828,5728140.734,3780521.332,5707390.679,4159460,10416716.59,1835212.651,4986283.745,10335410.01,2637154.842,3591229.575,4447704.13,4413814.194,5569233.757,6093135.204,6122166.667,2868335.543,8879688.575,8937344.94,4715229.033,4052208.233,3988423.871,4577725.993,6444330.445,5746008.464,8146676.847,1954155.279,6948197.326,A0A0B4J1V6
sp|A0A0B4J1X5|HV374_HUMAN,A0A0B4J1X5,IGHV3-74,18372816.84,12099045.74,11665532.28,11226361.14,17444879.21,12721247.87,8461885.844,26171883.6,7079112.537,13829700,22764852.37,11672621.22,10321728.97,14505565.61,13779640.27,18623229.28,11072800,36569450.17,6160398.847,15539164.85,21915079.67,6445088.252,11335728.52,14331148.67,13099300.23,16007229.38,20624998.26,24719068.66,11274421.7,28413520.45,16954367.45,13272127.07,11387016.12,14702959.18,15679193.65,18367047.03,15830548.59,29269492,6445989.736,21923592.75,A0A0B4J1X5
sp|A0A0B4J1X8|HV343_HUMAN,A0A0B4J1X8,IGHV3-43,8349014.79,6157501.28,6589405.791,9514393.36,9724261.593,7805208.308,7227614.464,16811168.72,4553403.164,9582910,11809318.74,6852868.072,6979421.069,10073732.68,9052817.712,10455116.67,7661180,23886233.87,3574967.867,11828487.08,8761732.398,5382181.041,6944697.094,9915553.982,9458735.689,9703661.352,8490113.806,19451861.5,5435868.428,15049592.95,8985426.469,9664327.702,8174278.937,8148650.376,9599106.432,10720824.37,7309699.028,22922590.99,2564461.29,12979912.09,A0A0B4J1X8
sp|A0A0B4J1Y8|LV949_HUMAN,A0A0B4J1Y8,IGLV9-49,1287679.746,192760.3959,318656.962,460261.836,135487.5324,420969.5178,498805.9024,830612.8748,272718.5075,440400,1672622.786,133814.5529,276223.7931,505185.6343,106949.0304,706466.6875,717800,1465833.525,243378.098,645448.88,1512396.771,342879.6162,360571.7023,135575.3982,503334.6963,429946.8536,1669776.51,1095843.31,609822.9866,335574.048,1569804.671,707352.3696,369139.2796,173869.5158,583907.8279,463938.9874,1593302.194,1588259.688,279186.217,412251.4215,A0A0B4J1Y8
sp|A0A0B4J1Y9|HV372_HUMAN,A0A0B4J1Y9,IGHV3-72,10008482.95,4727163.547,3817399.494,6293582.015,5042886.334,5087634.441,3586462.526,6389329.806,2539903.612,4991200,11887562.15,4992160.558,3777909.448,6986127.363,4812325.145,6950759.399,5025350,12031831.8,2275546.369,6336800.115,14244806.25,3107043.966,3918327.308,5349432.625,5382138.026,6789696.306,7986082.739,8283367.048,3146954.251,10626175.63,12524761.22,5830115.114,4463833.791,4858263.564,5745448.834,7828724.021,7642399.373,10160112.33,2229684.897,8487749.224,A0A0B4J1Y9
sp|A0A0B4J2D9|KVD13_HUMAN / sp|P0DP09|KV113_HUMAN,A0A0B4J2D9 / P0DP09,IGKV1D-13,50931.45186,2017466.153,72209.71519,80660.13279,168467.2604,235791.0908,40661.86152,84864.16814,48497.8209,2340730,83640.8469,1654886.569,48330.44828,124520.2425,61474.72527,407404.2227,48190,171557.4597,40294.32277,2880304.739,39763.85918,37727.53707,74611.43405,110603.5988,2583984.901,416474.7262,108636.9631,150947.9167,85946.30872,234996.897,66726.477,69919.06115,66879.75986,115384.4431,2537039.292,525396.6623,81672.31975,201417.2014,43612.34604,171944.0602,A0A0B4J2D9
sp|A0A0B4J2H0|HV69D_HUMAN,A0A0B4J2H0,IGHV1-69D,2039699.366,2420767.677,2478762.975,1196019.226,3079839.508,1190341.114,1381978.693,3012395.65,1007569.642,1515700,2416439.983,1870638.759,2105901.379,1278263.215,2891730.123,1478214.607,1990460,4400509.505,721772.4207,3044759.19,2561378.401,1208643.297,2619257.426,2591321.239,2639308.411,2281208.06,1456466.033,2100465.229,1327597.176,2380009.027,2155846.001,2355422.933,2576741.307,2800131.425,2278839.005,2909768.184,1425813.194,4397553.028,625653.8416,2237416.905,A0A0B4J2H0
